Hour,Temperature (C),Humidity (%),Seasons,Holiday,Functioning Day,Precipitation,Day,Month,Year
0,-5.2,37,1,0,1,0,1,12,2017
1,-5.5,38,1,0,1,0,1,12,2017
2,-6.0,39,1,0,1,0,1,12,2017
3,-6.2,40,1,0,1,0,1,12,2017
4,-6.0,36,1,0,1,0,1,12,2017
5,-6.4,37,1,0,1,0,1,12,2017
6,-6.6,35,1,0,1,0,1,12,2017
7,-7.4,38,1,0,1,0,1,12,2017
8,-7.6,37,1,0,1,0,1,12,2017
9,-6.5,27,1,0,1,0,1,12,2017
10,-3.5,24,1,0,1,0,1,12,2017
11,-0.5,21,1,0,1,0,1,12,2017
12,1.7,23,1,0,1,0,1,12,2017
13,2.4,25,1,0,1,0,1,12,2017
14,3.0,26,1,0,1,0,1,12,2017
15,2.1,36,1,0,1,0,1,12,2017
16,1.2,54,1,0,1,0,1,12,2017
17,0.8,58,1,0,1,0,1,12,2017
18,0.6,66,1,0,1,0,1,12,2017
19,0.0,77,1,0,1,0,1,12,2017
20,-0.3,79,1,0,1,0,1,12,2017
21,-0.8,81,1,0,1,0,1,12,2017
22,-0.9,83,1,0,1,0,1,12,2017
23,-1.3,84,1,0,1,0,1,12,2017
0,-1.8,87,1,0,1,0,2,12,2017
1,-2.2,86,1,0,1,0,2,12,2017
2,-2.9,86,1,0,1,0,2,12,2017
3,-3.5,81,1,0,1,0,2,12,2017
4,-3.8,79,1,0,1,0,2,12,2017
5,-4.0,79,1,0,1,0,2,12,2017
6,-4.3,82,1,0,1,0,2,12,2017
7,-4.4,81,1,0,1,0,2,12,2017
8,-4.2,79,1,0,1,0,2,12,2017
9,-2.9,68,1,0,1,0,2,12,2017
10,-0.4,57,1,0,1,0,2,12,2017
11,1.9,49,1,0,1,0,2,12,2017
12,4.3,41,1,0,1,0,2,12,2017
13,6.0,36,1,0,1,0,2,12,2017
14,7.3,35,1,0,1,0,2,12,2017
15,7.6,41,1,0,1,0,2,12,2017
16,6.4,48,1,0,1,0,2,12,2017
17,6.0,51,1,0,1,0,2,12,2017
18,5.5,53,1,0,1,0,2,12,2017
19,5.0,52,1,0,1,0,2,12,2017
20,4.6,51,1,0,1,0,2,12,2017
21,4.1,55,1,0,1,0,2,12,2017
22,3.5,54,1,0,1,0,2,12,2017
23,4.0,56,1,0,1,0,2,12,2017
0,4.0,58,1,0,1,0,3,12,2017
1,3.9,69,1,0,1,0,3,12,2017
2,3.3,79,1,0,1,0,3,12,2017
3,3.4,71,1,0,1,1,3,12,2017
4,3.5,73,1,0,1,0,3,12,2017
